bedroom,bathrooms,furnishing,avalable_for,floor_number,facing,floor_type,parking,aggDur,noticeDur,powerbackup,prUnfurnishedertyage,no_room,pooja_room,study_room,servant_room,store_room,deposit_amt,rent,area,loc,fur_cat,loc_cat,gc_ct,p_age
1,1,Furnished,All,2,North,Vitrified,1,11,1,2,0 to 1 Year Old,1,0,0,0,0,150000,30000.0,654.0, Kharadi,0,378,1,0
1,1,Semifurnished,All,1,No Direction,Not provided,1,0,1,0,10+ Year Old,1,0,0,0,0,3,10000.0,410.0, Kharadi,1,378,1,2
1,2,Unfurnished,All,3,East,Marble,1,11,1,2,0 to 1 Year Old,0,1,1,0,0,30000,11000.0,470.0, Thergaon,2,880,0,0
2,2,Semifurnished,All,6,South,Ceramic,1,11,1,2,5 to 10 Year Old,1,0,0,0,0,0,24000.0,900.0, Thergaon,1,880,1,3
2,2,Unfurnished,All,5,No Direction,Not provided,1,24,1,0,0 to 1 Year Old,0,0,0,0,0,30000,12000.0,559.0, Bhukum,2,110,1,0
2,2,Semifurnished,Family Only,1,North-East,Vitrified,1,0,1,1,1 to 5 Year Old,1,0,0,0,0,3,25000.0,850.0, Bhukum,1,110,1,1
1,1,Semifurnished,All,4,No Direction,Not provided,1,12,0,2,5 to 10 Year Old,1,0,0,0,0,40000,12000.0,630.0, Keshav Nagar mundhwa,1,370,1,3
2,2,Unfurnished,Family Only,1,East,Vitrified,1,11,1,2,0 to 1 Year Old,0,0,1,0,0,45000,15000.0,850.0, Keshav Nagar mundhwa,2,370,1,0
3,2,Semifurnished,All,3,North-West,Vitrified,1,0,0,1,0 to 1 Year Old,1,0,0,0,0,40000,16000.0,947.0, Sant Nagar,1,757,1,0
2,2,Semifurnished,All,0,No Direction,Not provided,1,0,0,0,10+ Year Old,1,0,0,0,0,2,28000.0,424.0, Sant Nagar,1,757,1,2
3,3,Semifurnished,Family Only,1,East,Marble,1,11,1,2,5 to 10 Year Old,0,0,1,0,0,100000,35000.0,1200.0, sahwas society,1,1082,1,3
2,2,Unfurnished,Family Only,8,East,Vitrified,1,11,1,1,10+ Year Old,1,0,0,0,0,60000,21000.0,900.0, sahwas society,2,1082,1,2
1,1,Unfurnished,All,0,No Direction,Not provided,0,0,0,0,10+ Year Old,1,0,0,0,0,15000,8500.0,451.0, Mamta Nagar,2,465,0,2
2,2,Furnished,All,5,East,Vitrified,1,12,1,1,1 to 5 Year Old,0,0,0,0,0,75000,26000.0,850.0, Mamta Nagar,0,465,1,1
2,2,Unfurnished,Family Only,4,East,Wood,1,11,1,2,5 to 10 Year Old,0,0,0,0,0,3,25000.0,11000.0, Balaji Uddyam Nagar,2,66,1,3
1,1,Unfurnished,All,0,East,Others,1,0,1,0,10+ Year Old,1,0,0,0,0,0,13500.0,785.0, Balaji Uddyam Nagar,2,66,1,2
2,2,Unfurnished,Family Only,5,South-East,Marble,1,11,2,1,5 to 10 Year Old,1,0,0,0,0,50000,13000.0,1070.0, Dattanagar,2,173,1,3
1,1,Unfurnished,Family Only,3,North-West,Vitrified,1,12,1,0,10+ Year Old,1,0,0,0,0,35000,11500.0,646.0, Dattanagar,2,173,1,2
2,2,Semifurnished,All,2,South-East,Wood,1,11,1,2,5 to 10 Year Old,1,0,0,0,0,3,17000.0,899.0, Hinjewadi,1,276,1,3
3,3,Semifurnished,"Family , Bachelors (Women Only)",3,West,Not provided,1,11,0,0,0 to 1 Year Old,1,0,0,0,0,0,48000.0,1936.0, Hinjewadi,1,276,0,0
1,1,Semifurnished,All,2,East,Ceramic,1,12,1,1,1 to 5 Year Old,1,0,0,0,0,3,11000.0,457.0, Wagholi,1,963,1,1
2,2,Semifurnished,"Family , Bachelors (Women Only)",3,East,Ceramic,1,0,0,1,1 to 5 Year Old,1,0,0,0,0,3,16000.0,760.0, Wagholi,1,963,1,1
2,2,Semifurnished,All,1,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,50000,19000.0,322.0, Pune,1,663,0,3
1,1,Unfurnished,Family Only,5,South-East,Vitrified,1,0,0,1,5 to 10 Year Old,0,1,0,0,0,40000,15000.0,322.0, Pune,2,663,1,3
1,1,Unfurnished,Family Only,0,North,Not provided,0,0,0,0,10+ Year Old,1,0,0,0,0,15000,9000.0,322.0, Pune,2,663,0,2
3,2,Semifurnished,All,6,East,Vitrified,1,1,1,1,1 to 5 Year Old,1,0,0,0,0,50000,18000.0,1000.0, Pune,1,663,1,1
1,2,Furnished,All,0,North,Ceramic,1,36,1,2,0 to 1 Year Old,1,0,0,0,0,20000,20000.0,950.0, Keshavnagar.mundwa,0,372,1,0
1,1,Unfurnished,Family Only,1,East,Ceramic,0,24,1,1,5 to 10 Year Old,0,0,0,0,0,35000,13000.0,590.0, Keshavnagar.mundwa,2,372,1,3
1,1,Unfurnished,All,0,East,Not provided,0,0,0,0,1 to 5 Year Old,1,0,0,0,0,15000,6000.0,322.0, Pune,2,663,0,1
2,2,Semifurnished,Family Only,2,No Direction,Not provided,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,3,18000.0,322.0, Pune,1,663,0,3
1,1,Unfurnished,Family Only,3,South-West,Vitrified,1,11,1,2,1 to 5 Year Old,0,0,0,0,0,30000,10000.0,466.0, Sinhgad Road,2,835,1,1
3,3,Unfurnished,Family Only,7,North-East,Vitrified,1,11,1,2,5 to 10 Year Old,0,0,0,0,1,50000,20000.0,1350.0, Sinhgad Road,2,835,1,3
1,2,Unfurnished,All,9,South,Vitrified,1,0,0,0,5 to 10 Year Old,1,0,0,0,0,0,15000.0,583.0, Magarpatta,2,448,1,3
